trade_id,side,entry_time,entry_price,exit_time,exit_price,quantity,pnl,pnl_pct,commission,exit_reason
1,LONG,2025-04-02 10:00:00,1373.0,2025-04-02 10:30:00,1370.7545454545455,10,-2657017.7272727313,-0.19351913527113848,411563.18181818177,Stop loss
2,LONG,2025-04-02 14:00:00,1374.5,2025-04-02 14:00:00,1372.6227272727272,10,-2289341.136363748,-0.16655810377328106,412068.40909090906,Stop loss
3,LONG,2025-04-04 14:00:00,1255.5,2025-04-04 14:00:00,1250.490909090909,10,-5384989.5454545375,-0.42891195105173535,375898.63636363635,Stop loss
4,LONG,2025-04-11 14:15:00,1298.5,2025-04-16 13:45:00,1294.3590909090908,10,-4529837.954545554,-0.3488515944971547,388928.86363636353,Stop loss
5,LONG,2025-04-17 14:30:00,1296.7,2025-04-18 13:45:00,1314.1181818181817,10,17026559.090908937,1.3130684885408295,391622.7272727272,Take profit
6,LONG,2025-04-21 14:00:00,1294.5,2025-04-21 14:00:00,1291.5181818181818,10,-3369720.9090909255,-0.26031061483900547,387902.7272727272,Stop loss
7,LONG,2025-04-24 14:15:00,1306.6,2025-05-06 10:30:00,1323.881818181818,10,16887245.90909088,1.292457210247274,394572.27272727265,Take profit
8,LONG,2025-05-12 14:15:00,1375.5,2025-05-13 09:15:00,1372.5954545454545,10,-3316759.772727359,-0.2411312084861766,412214.3181818181,Stop loss
9,LONG,2025-05-14 10:30:00,1389.8,2025-05-15 10:45:00,1386.7181818181818,10,-3498295.9090908347,-0.2517121822629756,416477.7272727272,Stop loss
10,LONG,2025-05-15 14:30:00,1401.5,2025-05-16 09:00:00,1397.2,10,-4719804.999999954,-0.3367681056011384,419804.99999999994,Stop loss (gap at open)
11,LONG,2025-05-19 10:30:00,1382.3,2025-05-20 11:15:00,1403.518181818182,10,20800309.090909347,1.504760839970292,417872.7272727273,Take profit
12,LONG,2025-05-22 11:00:00,1416.4,2025-05-22 13:00:00,1413.7545454545455,10,-3069977.727272822,-0.21674510923982085,424523.18181818177,Stop loss
13,LONG,2025-05-26 14:15:00,1408.6,2025-06-03 13:00:00,1437.1363636363637,10,28109503.181818377,1.9955631962103064,426860.4545454545,Take profit
14,LONG,2025-06-10 10:00:00,1403.3,2025-06-10 14:15:00,1400.2272727272727,10,-3493256.363636297,-0.24893154447632704,420529.0909090908,Stop loss
15,LONG,2025-06-16 14:15:00,1412.6,2025-06-17 10:00:00,1426.8272727272727,10,13801358.636363655,0.9770181676598935,425914.0909090908,Take profit
16,LONG,2025-06-18 10:00:00,1428.6,2025-06-18 13:15:00,1425.8090909090909,10,-3219070.454545417,-0.225330425209675,428161.36363636353,Stop loss
17,LONG,2025-06-19 14:15:00,1436.6,2025-06-20 09:00:00,1426.9,10,-10129524.999999817,-0.7051040651538227,429524.99999999994,Stop loss (gap at open)
18,LONG,2025-06-24 10:15:00,1454.6,2025-06-24 14:00:00,1450.9636363636364,10,-4072198.181818058,-0.27995312675773804,435834.5454545454,Stop loss
19,LONG,2025-07-01 10:15:00,1468.4,2025-07-01 10:15:00,1466.3363636363636,10,-2503846.8181819874,-0.17051531041827753,440210.4545454545,Stop loss
20,LONG,2025-07-02 14:30:00,1470.9,2025-07-03 09:00:00,1459.6,10,-11739575.000000183,-0.798121898157603,439574.99999999994,Stop loss (gap at open)
21,LONG,2025-07-07 14:30:00,1492.4,2025-07-08 14:15:00,1506.2272727272725,10,13377478.636363339,0.8963735350015638,449794.0909090908,Take profit
22,LONG,2025-07-09 10:00:00,1528.4,2025-07-09 10:00:00,1525.2545454545455,10,-3603502.727272822,-0.2357696105255707,458048.18181818177,Stop loss
23,LONG,2025-07-10 11:00:00,1550.6,2025-07-10 11:00:00,1547.3181818181818,10,-3746505.90909088,-0.2416165296717967,464687.7272727272,Stop loss
24,LONG,2025-07-10 14:00:00,1552.8,2025-07-10 14:00:00,1549.668181818182,10,-3597188.409090789,-0.23165819223923165,465370.22727272724,Stop loss
25,LONG,2025-07-11 11:15:00,1589.2,2025-07-14 09:30:00,1581.4954545454545,7,-5726104.84090912,-0.5147338140402287,332923.0227272727,Stop loss
26,LONG,2025-07-16 14:15:00,1611.6,2025-07-17 10:15:00,1630.5727272727272,10,18486401.363636386,1.1470837281978399,486325.90909090906,Take profit
