trade_id,side,entry_time,entry_price,exit_time,exit_price,quantity,gross_pnl,commission,pnl,exit_reason,mae,mfe,duration_min
1,short,2025-10-03 09:45:00,1847.9,2025-10-03 09:45:00,1852.1,10,-4199999.999999818,555000.0,-4754999.999999818,Stop loss,0.0,0.0,0.0
2,short,2025-10-03 10:15:00,1847.8644805171882,2025-10-03 10:15:00,1852.1,10,-4235519.482811697,554994.6720775783,-4790514.154889275,Stop loss,0.0,0.0,0.0
3,short,2025-10-03 11:15:00,1847.838931178614,2025-10-03 11:15:00,1852.1,10,-4261068.821385833,554990.839676792,-4816059.661062625,Stop loss,0.0,0.0,0.0
4,long,2025-10-08 13:45:00,1919.7263081771782,2025-10-08 14:15:00,1918.9,10,-826308.1771781344,575793.9462265768,-1402102.1234047113,Last Candle Close,0.0,4.97369182282182,30.0
5,long,2025-10-09 11:00:00,1926.8073524205117,2025-10-09 14:15:00,1932.1,10,5292647.579488175,578836.1028630767,4713811.476625098,Last Candle Close,0.3073524205117337,9.392647579488312,195.0
6,long,2025-10-10 11:00:00,1946.5157348866774,2025-10-10 14:15:00,1966.977875764824,10,20462140.878146555,587024.0415977251,19875116.83654883,Take profit,0.0,17.28426511332259,195.0
7,long,2025-10-13 09:30:00,1972.4894465232264,2025-10-13 14:00:00,1995.7381867788981,10,23248740.25567169,595234.1449953186,22653506.110676374,Take profit,0.0,15.910553476773657,270.0
8,long,2025-10-14 09:45:00,2031.4032290764565,2025-10-14 10:00:00,2025.5,9,-5312906.16881081,547681.9359253217,-5860588.104736132,Stop loss,0.0,1.7967709235435905,15.0
9,short,2025-10-14 13:45:00,2022.8268083688397,2025-10-14 14:15:00,2010.5,9,11094127.531955723,544499.1191297933,10549628.412825929,Last Candle Close,0.0,0.0,30.0
10,long,2025-10-15 10:15:00,2026.7752211612237,2025-10-15 11:15:00,2020.5,9,-5647699.045101354,546382.1548567652,-6194081.19995812,Stop loss,4.375221161223635,0.6247788387763649,60.0
11,short,2025-10-16 14:00:00,2015.3421552870361,2025-10-16 14:15:00,2014.0,10,1342155.2870361211,604401.3232930554,737753.9637430657,Last Candle Close,0.0,0.0,15.0
12,short,2025-10-17 09:45:00,2008.0316652400036,2025-10-17 13:45:00,1985.8568964057345,10,22174768.834269118,599083.2842468607,21575685.550022256,Take profit,0.0,0.0,240.0
13,long,2025-10-21 10:00:00,1895.1659313388766,2025-10-21 10:30:00,1886.8,7,-5856151.937213644,397106.422790582,-6253258.360004227,Stop loss,2.465931338876544,1.134068661123365,30.0
14,long,2025-10-21 13:30:00,1895.2287615527418,2025-10-21 14:15:00,1909.7,6,8682743.068354921,342443.5885397467,8340299.479815175,Last Candle Close,0.0,25.9712384472582,45.0
15,short,2025-10-22 10:30:00,1895.534623739889,2025-10-22 14:15:00,1905.2,6,-5799225.756066653,342066.11613658996,-6141291.872203243,Stop loss,0.0,0.0,225.0
16,long,2025-10-24 13:45:00,1940.246094027916,2025-10-24 14:15:00,1942.5,6,1352343.5832504674,349447.1484625124,1002896.434787955,Last Candle Close,0.0,3.453905972084158,30.0
17,short,2025-10-27 11:15:00,1938.7104285935554,2025-10-27 14:15:00,1908.5,6,18126257.15613326,346248.93857341993,17780008.21755984,Last Candle Close,0.0,0.0,180.0
18,long,2025-10-31 13:45:00,1915.4425705976598,2025-10-31 13:45:00,1908.0,8,-5954056.478127859,458813.10847171914,-6412869.586599578,Stop loss,0.0,0.0,0.0
19,short,2025-10-31 14:15:00,1892.3762090304092,2025-10-31 14:15:00,1900.2,7,-5476653.678713592,398220.50194819295,-5874874.1806617845,Stop loss,0.0,0.0,0.0
20,short,2025-11-03 14:00:00,1891.0434845536613,2025-11-03 14:00:00,1899.1,7,-5639560.812437026,397965.0658781344,-6037525.87831516,Stop loss,0.0,0.0,0.0
21,short,2025-11-03 14:15:00,1890.5020350685393,2025-11-03 14:15:00,1862.5,6,16801221.04112356,337770.1831561685,16463450.857967393,Last Candle Close,0.0,0.0,0.0
22,long,2025-11-04 13:45:00,1871.7273789196186,2025-11-04 14:15:00,1902.2,7,21330834.75626704,396262.3747865599,20934572.38148048,Last Candle Close,0.0,16.27262108038144,30.0
23,long,2025-11-06 13:30:00,1883.6632149453994,2025-11-06 13:30:00,1876.8,9,-6176893.450859529,507662.5340176289,-6684555.984877158,Stop loss,0.0,0.0,0.0
24,long,2025-11-11 14:00:00,1824.90917203616,2025-11-11 14:15:00,1817.8,8,-5687337.628928071,437125.1006443391,-6124462.72957241,Stop loss,1.6091720361600892,0.0,15.0
25,long,2025-11-12 11:15:00,1834.1015761030756,2025-11-12 14:00:00,1864.6949457465855,8,24474695.71480797,443855.5826219593,24030840.13218601,Take profit,0.0,24.89842389692444,165.0
